sample,shape,mask_bytes,foreground_px,foreground_pct,maskel_baseline_mb,sk_zhang_baseline_mb,sk_lee_baseline_mb,vv_lee_baseline_mb,maskel_peak_mb,sk_zhang_peak_mb,sk_lee_peak_mb,vv_lee_peak_mb,maskel_delta_mb,sk_zhang_delta_mb,sk_lee_delta_mb,vv_lee_delta_mb,maskel_wall_time_s,sk_zhang_wall_time_s,sk_lee_wall_time_s,vv_lee_wall_time_s
08_g,"(2336, 3504)",8185344,555558,6.787,176.12,137.99,137.96,206.01,203.86,161.63,172.0,268.07,27.74,23.64,34.03,62.06,0.131,0.301,0.838,0.838
08_h,"(2336, 3504)",8185344,821627,10.038,176.32,138.25,138.17,204.16,204.41,161.89,172.21,283.68,28.09,23.64,34.04,79.53,0.13,0.284,0.808,1.247
09_dr,"(2336, 3504)",8185344,554447,6.774,176.17,137.86,138.21,204.05,205.07,161.49,172.09,266.21,28.91,23.63,33.88,62.16,0.145,0.348,0.99,0.977
09_g,"(2336, 3504)",8185344,541943,6.621,176.39,138.18,138.44,203.99,202.43,161.82,172.45,265.09,26.04,23.64,34.0,61.11,0.11,0.265,0.782,0.788
09_h,"(2336, 3504)",8185344,636468,7.776,176.36,138.0,137.84,204.38,202.98,161.64,171.8,272.12,26.61,23.64,33.96,67.74,0.126,0.315,0.822,0.747
10_dr,"(2336, 3504)",8185344,714889,8.734,178.24,138.34,138.06,202.55,204.5,161.98,172.18,276.16,26.26,23.64,34.12,73.61,0.135,0.319,0.992,1.034
10_g,"(2336, 3504)",8185344,536598,6.556,177.23,137.73,137.92,204.07,200.3,161.37,171.92,264.73,23.07,23.64,34.0,60.65,0.099,0.222,0.609,0.713
10_h,"(2336, 3504)",8185344,705438,8.618,176.0,138.19,138.07,204.07,201.99,161.82,172.12,276.18,25.99,23.64,34.05,72.11,0.124,0.256,0.909,1.048
11_dr,"(2336, 3504)",8185344,692937,8.466,176.23,138.5,138.02,204.0,204.34,162.14,172.21,275.35,28.11,23.64,34.19,71.35,0.125,0.297,1.02,1.156
11_g,"(2336, 3504)",8185344,625693,7.644,176.05,138.07,137.84,204.02,205.85,162.19,171.92,271.19,29.8,24.12,34.08,67.17,0.162,0.394,1.183,1.301
11_h,"(2336, 3504)",8185344,765355,9.35,176.24,138.03,138.32,204.2,203.94,164.61,172.23,280.04,27.7,26.58,33.91,75.85,0.149,0.343,0.994,1.419
12_dr,"(2336, 3504)",8185344,556724,6.801,176.21,138.03,138.38,204.46,203.26,161.67,172.23,266.41,27.05,23.64,33.85,61.95,0.116,0.276,0.951,1.058
12_g,"(2336, 3504)",8185344,676424,8.264,176.43,138.17,137.93,204.19,203.78,161.82,171.99,274.51,27.34,23.65,34.06,70.32,0.13,0.316,1.061,0.744
12_h,"(2336, 3504)",8185344,859295,10.498,175.89,138.04,137.86,203.96,205.73,161.68,171.82,286.31,29.84,23.64,33.96,82.34,0.139,0.337,1.111,1.24
13_dr,"(2336, 3504)",8185344,559479,6.835,176.27,138.29,138.14,204.12,201.89,167.75,172.07,266.54,25.63,29.46,33.93,62.43,0.121,0.26,0.873,1.046
13_g,"(2336, 3504)",8185344,556981,6.805,176.09,137.92,138.25,204.02,203.55,161.74,172.16,266.3,27.46,23.82,33.91,62.28,0.135,0.293,0.899,1.097
13_h,"(2336, 3504)",8185344,712528,8.705,176.25,137.96,138.11,204.18,203.57,161.61,171.96,277.32,27.32,23.64,33.85,73.14,0.136,0.319,1.02,1.223
14_dr,"(2336, 3504)",8185344,624936,7.635,176.23,138.04,137.95,204.12,206.09,161.68,172.06,271.09,29.86,23.64,34.11,66.97,0.144,0.413,1.397,1.479
14_g,"(2336, 3504)",8185344,578169,7.063,176.3,138.09,138.16,203.86,204.7,169.23,172.25,267.61,28.4,31.15,34.08,63.75,0.141,0.352,1.197,1.152
14_h,"(2336, 3504)",8185344,714054,8.724,175.98,138.25,138.05,204.29,202.57,161.89,171.96,277.16,26.59,23.64,33.91,72.88,0.124,0.269,0.849,1.093
15_dr,"(2336, 3504)",8185344,535043,6.537,176.07,138.12,138.1,204.03,204.11,161.76,171.92,265.09,28.04,23.64,33.82,61.06,0.147,0.352,1.041,0.691
15_g,"(2336, 3504)",8185344,599188,7.32,176.41,138.13,138.09,203.9,203.66,161.77,171.98,269.07,27.24,23.64,33.9,65.17,0.147,0.319,1.142,1.025
15_h,"(2336, 3504)",8185344,641245,7.834,176.87,137.69,138.27,204.02,203.49,168.89,171.94,258.4,26.62,31.2,33.67,54.38,0.135,0.269,0.757,0.666
